worker_id,paid,task_name,batch_name,unit_id,time_submit,time_submit_parsed,try_current,sequence_number,text
6272919c35ab7659d0754c07,True,FakeNewsMultidimensional,V4-Prolific-1,unit_82,"Tue, 23 Aug 2022 11:18:36 GMT",2022-08-23 11:18:36 00:00,1.0,13.0,No comment
61151fdceebe67102a0983ad,True,FakeNewsMultidimensional,V4-Prolific-1,unit_178,"Tue, 23 Aug 2022 13:30:18 GMT",2022-08-23 13:30:18 00:00,1.0,13.0,A lot of the websites that were pulled up didnt look trustworthy I wasnt sure if it was the websites that were given as if I googled I think I would get different results
62b0b9d60841bfa66838f436,True,FakeNewsMultidimensional,V4-Prolific-1,unit_46,"Tue, 23 Aug 2022 09:58:38 GMT",2022-08-23 09:58:38 00:00,1.0,13.0,The majority of the top sources that popped up were Leftist media outlets Also ANYTHING that says Fact Checker on it I completely disregard and assume is a Leftist propaganda mouthpiece
62da96ec6d17660ed2b57be6,True,FakeNewsMultidimensional,V4-Prolific-1,unit_52,"Tue, 23 Aug 2022 10:34:37 GMT",2022-08-23 10:34:37 00:00,1.0,13.0,This was a good survey
627524293d738cdeebb0d481,True,FakeNewsMultidimensional,V4-Prolific-1,unit_4,"Mon, 22 Aug 2022 13:27:13 GMT",2022-08-22 13:27:13 00:00,1.0,13.0,I enjoyed this task and had no issues either Thanks again
6056bcf1cee7a41435889255,True,FakeNewsMultidimensional,V4-Prolific-1,unit_13,"Mon, 22 Aug 2022 15:49:56 GMT",2022-08-22 15:49:56 00:00,2.0,22.0,This was a very unique and interesting study I misunderstood the task for a moment but then realized where I was mistaken very quickly Thanks for letting me participate in your study
5a78b8355292b800012284ca,False,FakeNewsMultidimensional,V4-Prolific-1,unit_29,"Mon, 22 Aug 2022 16:01:37 GMT",2022-08-22 16:01:37 00:00,2.0,22.0,I went through the entire retry system and there were no attention checks Im submitting it anyway because I missed zero attention checks and completed the survey to the best of my ability and it took over 10 minutes to complete
5edb6d2469290d00092100f8,True,FakeNewsMultidimensional,V4-Prolific-1,unit_129,"Tue, 23 Aug 2022 12:17:42 GMT",2022-08-23 12:17:42 00:00,1.0,13.0,This was an interesting and enjoyable task I also appreciate how smoothlydone your interface is
62bd685ac3edc9ad0d77812b,True,FakeNewsMultidimensional,V4-Prolific-1,unit_43,"Wed, 24 Aug 2022 09:25:34 GMT",2022-08-24 09:25:34 00:00,1.0,13.0,A great survey
6290c772938bc3b286388004,True,FakeNewsMultidimensional,V4-Prolific-1,unit_84,"Tue, 23 Aug 2022 14:32:25 GMT",2022-08-23 14:32:25 00:00,1.0,13.0,This was fun Also random Id do this all day HAPPY TUESDAY ALL HONEST GOOD LUCK IN YOUR RESEARCH
5d7ff85ffec5620017b07c40,False,FakeNewsMultidimensional,V4-Prolific-1,unit_83,"Tue, 23 Aug 2022 11:23:58 GMT",2022-08-23 11:23:58 00:00,2.0,24.0,I did this task to my best abilityI rechecked all my answers and looked twice for any checks I might have missedI feel like you wasted my time and cheated me out of my paymentI would be interested to know what I might have missedI searched researched and answered the questions to my best ability
6282571cf39cd89341a474e9,False,FakeNewsMultidimensional,V4-Prolific-1,unit_195,"Wed, 24 Aug 2022 08:56:15 GMT",2022-08-24 08:56:15 00:00,2.0,24.0,I am very confused in why it says that I feel like
6282571cf39cd89341a474e9,False,FakeNewsMultidimensional,V4-Prolific-1,unit_195,"Wed, 24 Aug 2022 08:58:56 GMT",2022-08-24 08:58:56 00:00,3.0,35.0,I am very confused in why it says that I feel like I did everything good
5f0a7dec44c42c19a6c9f6d9,True,FakeNewsMultidimensional,V4-Prolific-1,unit_34,"Wed, 24 Aug 2022 09:40:13 GMT",2022-08-24 09:40:13 00:00,1.0,13.0,na
62c7b44340785bc85ce9054a,False,FakeNewsMultidimensional,V4-Prolific-1,unit_29,"Wed, 24 Aug 2022 14:02:44 GMT",2022-08-24 14:02:44 00:00,2.0,22.0,no comment
5d453e8723a5bb0001492546,True,FakeNewsMultidimensional,V4-Prolific-1,unit_97,"Tue, 23 Aug 2022 12:40:32 GMT",2022-08-23 12:40:32 00:00,1.0,17.0,The interface is extremely slow and consumes an unreasonable amount of system resources I would think that a few radio buttons and a search frame would be a light load on resources But for whatever reason this crashed Firefox ESR 102 and FireFox 104 on an 8GiB intel i7 laptop
5a3bdd2c8d005a0001829f3e,True,FakeNewsMultidimensional,V4-Prolific-1,unit_59,"Tue, 23 Aug 2022 14:24:54 GMT",2022-08-23 14:24:54 00:00,1.0,15.0,No issues Great survey
5e9fc65dee2ccf178f0e413f,True,FakeNewsMultidimensional,V4-Prolific-1,unit_30,"Mon, 22 Aug 2022 16:03:00 GMT",2022-08-22 16:03:00 00:00,1.0,13.0,very cool
61372727e083e6cd1c827f81,True,FakeNewsMultidimensional,V4-Prolific-1,unit_90,"Tue, 23 Aug 2022 11:10:04 GMT",2022-08-23 11:10:04 00:00,1.0,13.0,Work on your typos basic words are embarrassing to misspell especially more than once
5f98ab718920801c578363ab,True,FakeNewsMultidimensional,V4-Prolific-1,unit_183,"Tue, 23 Aug 2022 14:02:45 GMT",2022-08-23 14:02:45 00:00,1.0,13.0,Took longer than the advertise completion time
616b5241d8eb9504f10a5cb2,True,FakeNewsMultidimensional,V4-Prolific-1,unit_67,"Tue, 23 Aug 2022 10:54:49 GMT",2022-08-23 10:54:49 00:00,1.0,23.0,This has really inspired me to begin factchecking most of the news I consume online
5cfb5233df7d70001619ca90,True,FakeNewsMultidimensional,V4-Prolific-1,unit_29,"Wed, 24 Aug 2022 20:59:59 GMT",2022-08-24 20:59:59 00:00,1.0,13.0,Great
5c024be169406e00014e0b8e,True,FakeNewsMultidimensional,V4-Prolific-1,unit_51,"Tue, 23 Aug 2022 10:01:44 GMT",2022-08-23 10:01:44 00:00,1.0,13.0,NA
5a84f454ae9a0b0001a9e4e5,True,FakeNewsMultidimensional,V4-Prolific-1,unit_11,"Tue, 23 Aug 2022 14:18:30 GMT",2022-08-23 14:18:30 00:00,1.0,13.0,I often found I couldnt get search results with the direct page I wanted for example a politifact fact check article but got results that linked to those results so I used those when I didnt have a better direct source
5b9fa85b4bca610001d791f3,True,FakeNewsMultidimensional,V4-Prolific-1,unit_69,"Tue, 23 Aug 2022 11:13:30 GMT",2022-08-23 11:13:30 00:00,1.0,13.0,No comments
6168cbfbad1cc13ba73ade6e,True,FakeNewsMultidimensional,V4-Prolific-1,unit_39,"Mon, 22 Aug 2022 17:20:23 GMT",2022-08-22 17:20:23 00:00,1.0,13.0,the study was an informative and interesting one i learnt some new things
600628028f2211980fd1632c,True,FakeNewsMultidimensional,V4-Prolific-1,unit_198,"Tue, 23 Aug 2022 14:04:06 GMT",2022-08-23 14:04:06 00:00,1.0,13.0,Thanks
62da0d692b89efcaba51846d,True,FakeNewsMultidimensional,V4-Prolific-1,unit_190,"Wed, 24 Aug 2022 09:20:27 GMT",2022-08-24 09:20:27 00:00,1.0,13.0,I didnt like the search engine The results were not good and made the study take longer because of having to spend so much time trying to find a quality link
6273088a00cf446a9c9cd8f6,True,FakeNewsMultidimensional,V4-Prolific-1,unit_7,"Tue, 23 Aug 2022 14:01:57 GMT",2022-08-23 14:01:57 00:00,1.0,13.0,That was interestingI learned some new things so thank you
55b645b1fdf99b1c02906872,True,FakeNewsMultidimensional,V4-Prolific-1,unit_145,"Tue, 23 Aug 2022 12:24:15 GMT",2022-08-23 12:24:15 00:00,1.0,13.0,Many of those were on pay walls so I wasnt able to read the articlesresults
612bb0204ad8e7e8bed041eb,True,FakeNewsMultidimensional,V4-Prolific-1,unit_189,"Tue, 23 Aug 2022 13:52:06 GMT",2022-08-23 13:52:06 00:00,1.0,13.0,Thank You
611e98f99f858a3980832435,True,FakeNewsMultidimensional,V4-Prolific-1,unit_72,"Tue, 23 Aug 2022 11:51:11 GMT",2022-08-23 11:51:11 00:00,1.0,15.0,I had several issues finding information more than I normally have Why is the question which I am pondering First I think some of the quotes were old but had a current date attributed to them So I was stuck because I didnt know if a new statement was made which reiterated a previous statement and was then buried by too much old data The Sarah Palin quote is a good example of this Some of the other quotes were too sensationalized and getting to the truth was almost impossible The abortion comment is a good example here I just checked using my own browser and got much better information So perhaps your browser was set up to only return specific informationperhaps part of the test Be sureI only used your browser for the survey
62bb53a41c9cfff9c9a148c9,True,FakeNewsMultidimensional,V4-Prolific-1,unit_152,"Tue, 23 Aug 2022 13:00:08 GMT",2022-08-23 13:00:08 00:00,1.0,13.0,no
567dd32b4f0ef30006dbb718,True,FakeNewsMultidimensional,V4-Prolific-1,unit_88,"Tue, 23 Aug 2022 11:21:21 GMT",2022-08-23 11:21:21 00:00,1.0,13.0,NA
5993020a5f49420001caf86b,True,FakeNewsMultidimensional,V4-Prolific-1,unit_182,"Tue, 23 Aug 2022 13:40:25 GMT",2022-08-23 13:40:25 00:00,1.0,13.0,It would be interesting to see the final results and if I was correct Thanks
5dd9923922749791b319fc19,True,FakeNewsMultidimensional,V4-Prolific-1,unit_47,"Tue, 23 Aug 2022 10:37:31 GMT",2022-08-23 10:37:31 00:00,1.0,13.0,Nothing off the too of my head Thank you for the interesting study
62f8f6e9f4586438b191a9a4,True,FakeNewsMultidimensional,V4-Prolific-1,unit_66,"Tue, 23 Aug 2022 10:55:27 GMT",2022-08-23 10:55:27 00:00,1.0,13.0,some search results felt filtered and others seemed to show more options Oddly I got a bbc result in pidgin
62fbb4847ffeee6c7650da00,False,FakeNewsMultidimensional,V4-Prolific-1,unit_147,"Tue, 23 Aug 2022 15:28:11 GMT",2022-08-23 15:28:11 00:00,1.0,13.0,i dont knowwhat i did wrong to get nothing from my time wasted
5a8d8079190420000156435d,True,FakeNewsMultidimensional,V4-Prolific-1,unit_96,"Tue, 23 Aug 2022 11:53:25 GMT",2022-08-23 11:53:25 00:00,1.0,13.0,Adblock was blocking the study from opening up might want to include that in the directions I spent a ong while waiting for the study to load up before I turne off adblock and refreshed the page
62d9b8f821e545b0a264bc77,True,FakeNewsMultidimensional,V4-Prolific-1,unit_94,"Tue, 23 Aug 2022 11:44:39 GMT",2022-08-23 11:44:39 00:00,1.0,15.0,NA
629e3b29a4c6a6994feefef8,True,FakeNewsMultidimensional,V4-Prolific-1,unit_177,"Tue, 23 Aug 2022 13:16:53 GMT",2022-08-23 13:16:53 00:00,1.0,13.0,This was a very interesting study that I enjoyed being a part of Thank you
